CBSA FIPS,CBSA Name,CBSA Population,CBSA Rank,Value Within One-Mile Buffer,Square Feet Within One-Mile Buffer,Price Per Square Foot Within One-Mile Buffer,Value Outside One-Mile Buffer,Square Feet Outside One-Mile Buffer,Price Per Square Foot Outside One-Mile Buffer,Value Within Half-Mile Buffer,Square Feet Within Half-Mile Buffer,Price Per Square Foot Inside Half-Mile Buffer,Value Outside Half-Mile Buffer,Square Feet Outside Half-Mile Buffer,Price Per Square Foot Outside Half-Mile Buffer,One-Mile Buffer Premium,Half-Mile Buffer Premium
44060,"Spokane-Spokane Valley, WA","585,784",99,"$24,032,239,417","351,465,706",$68 ,"$26,862,984,133","405,166,549",$66 ,"$18,314,651,933","267,691,078",$68 ,"$32,580,571,617","488,941,177",$67 ,3.1%,2.7%
33700,"Modesto, CA","552,878",103,"$28,003,501,901","186,152,110",$150 ,"$6,677,843,884","45,376,027",$147 ,"$22,733,710,071","150,281,591",$151 ,"$11,947,635,714","81,246,546",$147 ,2.2%,2.9%
35840,"North Port-Sarasota-Bradenton, FL","833,716",71,"$50,729,076,980","1,444,536,867",$35 ,"$37,519,147,103","1,090,157,828",$34 ,"$36,269,551,546","1,035,818,563",$35 ,"$51,978,672,537","1,498,876,132",$35 ,2.0%,1.0%
45300,"Tampa-St. Petersburg-Clearwater, FL","3,175,275",18,"$128,291,869,241","6,219,046,708",$21 ,"$63,151,227,138","3,002,904,066",$21 ,"$102,359,901,926","4,810,974,151",$21 ,"$89,083,194,453","4,410,976,623",$20 ,-1.9%,5.4%
29460,"Lakeland-Winter Haven, FL","725,046",81,"$17,790,444,521","821,734,270",$22 ,"$10,563,130,267","476,206,030",$22 ,"$14,327,889,653","672,950,899",$21 ,"$14,025,685,135","624,989,401",$22 ,-2.4%,-5.1%
14860,"Bridgeport-Stamford-Norwalk, CT","957,419",59,"$64,738,187,092","1,096,659,863",$59 ,"$50,021,515,490","820,627,518",$61 ,"$49,442,858,965","856,160,172",$58 ,"$65,316,843,617","1,061,127,209",$62 ,-3.2%,-6.2%
46060,"Tucson, AZ","1,043,433",53,"$3,791,522,915","323,601,674",$12 ,"$2,370,084,668","194,296,851",$12 ,"$3,114,126,629","265,218,525",$12 ,"$3,047,480,954","252,680,000",$12 ,-3.9%,-2.6%
29820,"Las Vegas-Henderson-Paradise, NV","2,265,461",29,"$38,561,536,026","1,773,001,323",$22 ,"$17,283,416,870","747,628,803",$23 ,"$28,843,907,387","1,326,210,388",$22 ,"$27,001,045,509","1,194,419,738",$23 ,-5.9%,-3.8%
37100,"Oxnard-Thousand Oaks-Ventura, CA","843,843",70,"$78,578,632,714","643,679,695",$122 ,"$19,024,710,754","146,560,007",$130 ,"$64,189,795,563","523,577,052",$123 ,"$33,413,547,905","266,662,650",$125 ,-6.0%,-2.2%
49340,"Worcester, MA-CT","978,529",57,"$43,824,895,404","1,095,554,599",$40 ,"$36,229,524,676","821,277,811",$44 ,"$35,508,024,728","912,544,152",$39 ,"$44,546,395,352","1,004,288,258",$44 ,-9.3%,-12.3%
17460,"Cleveland-Elyria, OH","2,088,251",34,"$28,121,771,550","2,426,612,167",$12 ,"$11,704,324,380","886,056,615",$13 ,"$21,912,842,390","1,869,801,939",$12 ,"$17,913,253,540","1,442,866,843",$12 ,-12.3%,-5.6%
39300,"Providence-Warwick, RI-MA","1,676,579",38,"$91,577,941,464","2,159,157,229",$42 ,"$64,311,355,820","1,305,864,381",$49 ,"$71,753,970,753","1,717,231,891",$42 ,"$84,135,326,531","1,747,789,719",$48 ,-13.9%,-13.2%
16980,"Chicago-Naperville-Elgin, IL-IN-WI","9,618,502",3,"$101,785,806,749","4,690,001,579",$22 ,"$60,211,428,630","2,352,284,883",$26 ,"$79,201,730,702","3,557,325,156",$22 ,"$82,795,504,677","3,484,961,306",$24 ,-15.2%,-6.3%
44700,"Stockton, CA","779,233",75,"$38,577,194,161","266,773,421",$145 ,"$16,601,244,351","95,534,823",$174 ,"$31,686,110,886","219,628,848",$144 ,"$23,492,327,626","142,679,396",$165 ,-16.8%,-12.4%
25540,"Hartford-East Hartford-Middletown, CT","1,213,531",48,"$32,618,595,473","1,202,786,381",$27 ,"$31,437,110,083","957,919,357",$33 ,"$24,633,070,828","943,405,150",$26 ,"$39,422,634,728","1,217,300,588",$32 ,-17.4%,-19.4%
23420,"Fresno, CA","1,008,654",56,"$39,147,110,038","346,022,269",$113 ,"$15,708,096,986","114,312,937",$137 ,"$32,329,861,349","289,063,125",$112 ,"$22,525,345,675","171,272,081",$132 ,-17.7%,-15.0%
35300,"New Haven-Milford, CT","864,835",68,"$27,670,370,388","912,686,064",$30 ,"$16,457,161,238","431,447,112",$38 ,"$21,856,698,510","731,691,765",$30 ,"$22,270,833,116","612,441,411",$36 ,-20.5%,-17.9%
15380,"Buffalo-Cheektowaga, NY","1,166,902",49,"$34,614,526,604","1,170,768,560",$30 ,"$8,895,566,579","235,100,144",$38 ,"$28,238,870,757","952,827,007",$30 ,"$15,271,222,426","453,041,697",$34 ,-21.9%,-12.1%
39100,"Poughkeepsie-Newburgh-Middletown, NY","697,221",85,"$14,453,916,800","393,362,156",$37 ,"$21,526,204,649","445,874,220",$48 ,"$11,413,648,810","318,138,415",$36 ,"$24,566,472,639","521,097,961",$47 ,-23.9%,-23.9%
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
